,城市,编号
620,龙湖,101280505
621,潮南,101280508
622,深圳,101280601
623,南山,101280604
624,盐田,101280607
625,金湾,101280703
626,雷州,101281003
627,赤坎,101281006
628,霞山,101281009
629,恩平,101281105
630,鹤山,101281108
631,河源,101281201
632,和平,101281204
633,源城,101281207
634,阳江,101281801
635,阳西,101281804
636,普宁,101281903
637,榕城,101281906
638,五华,101290102
639,晋宁,101290105
640,呈贡,101290108
641,禄劝,101290111
642,盘龙,101290114
643,澄江,101290702
644,华宁,101290705
645,峨山,101290708
646,楚雄,101290801
647,姚安,101290804
648,武定,101290807
649,永仁,101290810
650,福贡,101291203
651,德钦,101291302
652,迪庆,101291305
653,丽江,101291401
654,宁蒗,101291404
655,藤县,101300602
656,蒙山,101300605
657,龙圩,101300608
658,贺州,101300701
659,钟山,101300704
660,百色,101301001
661,德保,101301004
662,平果,101301007
663,乐业,101301010
664,右江,101301013
665,灵山,101301103
666,龙华,101310103
667,海淀,101010200
668,西城,101011700
669,黄浦,101020400
670,奉贤,101021000
671,河东,101031200
672,永川,101040200
673,涪陵,101041400
674,巫山,101042000
675,彭水,101043200
676,牡丹江,101050301
677,林口,101050304
678,东宁,101050307
679,爱民,101050310
680,抚远,101050403
681,同江,101050406
682,前进,101050409
683,通化,101060501
684,辉南,101060504
685,东昌,101060507
686,大安,101060603
687,洮北,101060606
688,东丰,101060702
689,西安,101060705
690,锦州,101070701
691,义县,101070704
692,凌河,101070707
693,盖州,101070803
694,鲅鱼圈,101070806
695,彰武,101070902
696,太平,101070905
697,双塔,101071202
698,北票,101071205
699,盘锦,101071301
700,双台子,101071304
701,托县,101080103
702,赛罕,101080106
703,回民,101080109
704,白云鄂博,101080202
705,固阳,101080205
706,东河,101080208
707,石拐,101080211
708,乌海,101080301
709,乌达,101080304
710,锡林浩特,101080901
711,阿巴嘎,101080904
712,苏右旗,101080907
713,西乌旗,101080910
714,正镶白旗,101080913
715,博克图,101080916
716,张北,101090303
717,尚义,101090306
718,怀安,101090309
719,涿鹿,101090312
720,桥东,101090315
721,承德,101090402
722,平泉,101090405
723,丰宁,101090408
724,双滦,101090411
725,唐山,101090501
726,滦县,101090504
727,迁西,101090507
728,遵化,101090510
729,路南,101090513
730,开平,101090516
731,大同县,101100203
732,灵丘,101100206
733,矿区,101100209
734,盂县,101100302
735,郊区,101100305
736,神木,101110403
737,靖边,101110406
738,子洲,101110409
739,清涧,101110412
740,白水,101110505
741,澄城,101110508
742,华阴,101110511
743,商洛,101110601
744,商州,101110604
745,商南,101110607
746,宜君,101111003
747,印台,101111006
748,寿光,101120603
749,昌邑,101120606
750,诸城,101120609
751,坊子,101120612
752,嘉祥,101120702
753,兖州,101120705
754,泗水,101120708
755,邹城,101120711
756,泰安,101120801
757,肥城,101120804
758,滨州,101121101
759,阳信,101121104
760,邹平,101121107
761,垦利,101121203
762,文登,101121302
763,成山头,101121305
764,乌鲁木齐,101130101
765,沙依巴克,101130104
766,水磨沟,101130107
767,乌鲁木齐县,101130113
768,白碱滩,101130203
769,英吉沙,101130902
770,莎车,101130905
771,巴楚,101130908
772,疏附,101130911
773,和田,101131301
774,墨玉,101131304
775,于田,101131307
776,布尔津,101131406
777,青河,101131409
778,乌恰,101131502
779,克州,101131505
780,拉孜,101140202
781,定日,101140205
782,仲巴,101140208
783,昂仁,101140211
784,谢通门,101140214
785,白朗,101140217
786,仁布,101140220
787,山南,101140301
788,加查,101140304
789,隆子,101140307
790,桑日,101140310
791,琼结,101140313
792,玛沁,101150501
793,达日,101150504
794,果洛,101150507
795,治多,101150603
796,曲麻莱,101150606
797,海西,101150702
798,天峻,101150708
799,格尔木,101150714
800,兰州,101160101
801,榆中,101160104
802,西固,101160107
803,张掖,101160701
804,临泽,101160704
805,甘州,101160707
806,金塔,101160803
807,肃北,101160806
808,永靖,101161103
809,东乡,101161106
810,临潭,101161202
811,迭部,101161205
812,夏河,101161208
813,白银,101161301
814,平川,101161304
815,灵武,101170103
816,西夏,101170106
817,惠农,101170202
818,大武口,101170205
819,吴忠,101170301
820,利通,101170304
821,原阳,101180303
822,延津,101180306
823,红旗,101180309
824,牧野,101180312
825,鄢陵,101180402
826,禹州,101180405
827,梁园,101181002
828,虞城,101181005
829,夏邑,101181008
830,西平,101181602
831,汝南,101181605
832,新蔡,101181608
833,驿城,101181611
834,三门峡,101181701
835,卢氏,101181704
836,湖滨,101181707
837,如皋,101190503
838,港闸,101190506
839,通州,101190509
840,宝应,101190602
841,江都,101190605
842,连云港,101191001
843,灌云,101191004
844,连云,101191007
845,金坛,101191103
846,钟楼,101191106
847,兴化,101191202
848,靖江,101191205
849,云梦,101200403
850,汉川,101200406
851,红安,101200502
852,英山,101200505
853,黄梅,101200508
854,黄州,101200511
855,黄石,101200601
856,铁山,101200604
857,黄石港,101200607
858,竹溪,101201102
859,竹山,101201105
860,茅箭,101201108
861,玉环,101210603
862,仙居,101210606
863,黄岩,101210612
864,泰顺,101210702
865,瑞安,101210705
866,永嘉,101210708
867,龙湾,101210711
868,舟山,101211101
869,岱山,101211104
870,合肥,101220101
871,肥西,101220104
872,瑶海,101220107
873,包河,101220110
874,固镇,101220203
875,蚌山,101220206
876,颍上,101220803
877,太和,101220806
878,颍泉,101220809
879,涡阳,101220902
880,谯城,101220905
881,铜陵,101221301
882,郊区,101221304
883,旌德,101221403
884,广德,101221406
885,同安,101230202
886,湖里,101230205
887,宁德,101230301
888,寿宁,101230304
889,柘荣,101230307
890,蕉城,101230310
891,广昌,101240402
892,金溪,101240405
893,南城,101240408
894,东乡,101240411
895,宜春,101240501
896,万载,101240504
897,奉新,101240507
898,丰城,101240510
899,崇义,101240702
900,分宜,101241002
901,赫山区,101250701
902,安化,101250704
903,冷水江,101250803
904,涟源,101250806
905,隆回,101250902
906,邵东,101250905
907,武冈,101250908
908,双清,101250911
909,慈利,101251103
910,鹤城,101251202
911,靖州,101251205
912,麻阳,101251208
913,溆浦,101251211
914,花溪,101260103
915,开阳,101260106
916,观山湖,101260112
917,安顺,101260301
918,平坝,101260304
919,兴义,101260901
920,贞丰,101260904
921,安龙,101260907
922,荣县,101270303
923,大安,101270306
924,三台,101270402
925,梓潼,101270405
926,江油,101270408
927,安州,101270411
928,南充,101270501
929,蓬安,101270504
930,阆中,101270507
931,嘉陵,101270510
932,德昌,101271605
933,宁南,101271608
934,金阳,101271611
935,冕宁,101271614
936,雷波,101271617
937,雅安,101271701
938,汉源,101271704
939,芦山,101271707
940,泸定,101271803
941,雅江,101271806
942,新龙,101271809
943,石渠,101271812
944,巴塘,101271815
945,得荣,101271818
946,德阳,101272001
947,什邡,101272004
948,旌阳,101272007
949,青川,101272103
950,利州,101272106
951,澄海,101280503
952,金平,101280506
953,罗湖,101280602
954,宝安,101280605
955,龙华,101280608
956,珠海,101280701
957,香洲,101280704
958,湛江,101281001
959,徐闻,101281004
960,遂溪,101281007
961,麻章,101281010
962,开平,101281103
963,台山,101281106
964,江海,101281109
965,紫金,101281202
966,龙川,101281205
967,阳春,101281802
968,江城,101281805
969,揭阳,101281901
970,惠来,101281904
971,东川,101290103
972,宜良,101290106
973,富民,101290109
974,安宁,101290112
975,官渡,101290115
976,江川,101290703
977,新平,101290706
978,元江,101290709
979,大姚,101290802
980,牟定,101290805
981,禄丰,101290808
982,怒江,101291201
983,兰坪,101291204
984,贡山,101291207
985,维西,101291303
986,永胜,101291402
987,古城,101291405
988,万秀,101300603
989,岑溪,101300606
990,昭平,101300702
991,八步,101300705
992,那坡,101301002
993,靖西,101301005
994,隆林,101301008
995,凌云,101301011
996,钦州,101301101
997,钦南,101301104
998,海口,101310101
999,琼山,101310104
1000,通州,101010600
1001,青浦,101020800
1002,天津,101030100
1003,合川,101040300
1004,巫溪,101041800
1005,潼南,101042100
1006,安达,101050503
1007,望奎,101050506
1008,庆安,101050509
1009,嫩江,101050602
1010,五大连池,101050605
1011,大兴安岭,101050701
1012,呼玛,101050704
1013,新兴,101051001
1014,桃山,101051004
1015,密山,101051103
1016,恒山,101051106
